trades,sessions,win_rate,avg_r,expectancy_usd,total_usd,profit_factor,max_dd_usd,t_stat_r,leg,filter,split,config
213,213.0,0.3474178403755869,0.008032830925603177,-61.478873239436616,-13095.0,0.9008874340101043,-26377.5,0.0729718608542921,ES,or_volume_rel_normal,full,OR15m/cut1100/exit1559/TE/both/follow
119,119.0,0.35294117647058826,0.030865359846806724,-21.30252100840336,-2535.0,0.9584545417298316,-15100.0,0.21518058860503433,ES,or_volume_rel_normal,IS,OR15m/cut1100/exit1559/TE/both/follow
94,94.0,0.3404255319148936,-0.020872179091665194,-112.34042553191489,-10560.0,0.8514872371844455,-26377.5,-0.12146291594091665,ES,or_volume_rel_normal,OOS,OR15m/cut1100/exit1559/TE/both/follow
82,82.0,0.36585365853658536,-0.16256099920271824,-113.32317073170732,-9292.5,0.8649934621531309,-35480.0,-1.2213289861853445,ES,or_volume_rel_busy,full,OR15m/cut1100/exit1559/TE/both/follow
62,62.0,0.3709677419354839,-0.10029826092476708,3.9516129032258065,245.0,1.0046702249332824,-26525.0,-0.5947456279143787,ES,or_volume_rel_busy,IS,OR15m/cut1100/exit1559/TE/both/follow
20,20.0,0.35,-0.3555754878643667,-476.875,-9537.5,0.4173793524740379,-10995.0,-2.2944844286004544,ES,or_volume_rel_busy,OOS,OR15m/cut1100/exit1559/TE/both/follow
163,164.0,0.37423312883435583,-0.0444516635301,-68.6042944785276,-11182.5,0.885328274412285,-29175.0,-0.3781572266695188,ES,gap_up_gt_0.25pct,full,OR15m/cut1100/exit1559/TE/both/follow
103,104.0,0.3786407766990291,-0.11206136924715723,-59.90291262135922,-6170.0,0.8902086391743405,-17650.0,-0.8719767896698367,ES,gap_up_gt_0.25pct,IS,OR15m/cut1100/exit1559/TE/both/follow
60,60.0,0.36666666666666664,0.07161166461751498,-83.54166666666667,-5012.5,0.878690706679574,-19290.0,0.30904879017648923,ES,gap_up_gt_0.25pct,OOS,OR15m/cut1100/exit1559/TE/both/follow
120,120.0,0.35,-0.027568660748129803,-39.0625,-4687.5,0.9480580641586791,-30622.5,-0.20141346866122786,ES,gap_dn_lt_-0.25pct,full,OR15m/cut1100/exit1559/TE/both/follow
71,71.0,0.38028169014084506,0.048794989254007444,52.07746478873239,3697.5,1.0711433931406031,-21582.5,0.2795570736745417,ES,gap_dn_lt_-0.25pct,IS,OR15m/cut1100/exit1559/TE/both/follow
49,49.0,0.30612244897959184,-0.13821803115938988,-171.12244897959184,-8385.0,0.7809131883205958,-10662.5,-0.6247842321253032,ES,gap_dn_lt_-0.25pct,OOS,OR15m/cut1100/exit1559/TE/both/follow
151,151.0,0.3576158940397351,0.04982512596745665,-10.447019867549669,-1577.5,0.9773851336821733,-9945.0,0.37459667258577,ES,gap_small_lt_0.15pct,full,OR15m/cut1100/exit1559/TE/both/follow
108,108.0,0.3611111111111111,0.11518972283745998,42.291666666666664,4567.5,1.0994881289479417,-9360.0,0.6887990736171036,ES,gap_small_lt_0.15pct,IS,OR15m/cut1100/exit1559/TE/both/follow
43,43.0,0.3488372093023256,-0.11434641965952837,-142.90697674418604,-6145.0,0.7422939819668694,-9945.0,-0.5577326592080566,ES,gap_small_lt_0.15pct,OOS,OR15m/cut1100/exit1559/TE/both/follow
338,340.0,0.3727810650887574,0.07095052157916347,2.048816568047337,692.5,1.00431450733622,-27937.5,0.7950070868359055,ES,above_sma20,full,OR15m/cut1100/exit1559/TE/both/follow
231,233.0,0.3593073593073593,0.025677219315666213,-41.13636363636363,-9502.5,0.9096892225812583,-27937.5,0.24589827361649508,ES,above_sma20,IS,OR15m/cut1100/exit1559/TE/both/follow
107,107.0,0.40186915887850466,0.1686900806713864,95.2803738317757,10195.0,1.184408067287691,-15237.5,0.994391940869119,ES,above_sma20,OOS,OR15m/cut1100/exit1559/TE/both/follow
176,176.0,0.3693181818181818,-0.11456607876250123,-99.44602272727273,-17502.5,0.8693745801925516,-47040.0,-1.1479547546995228,ES,below_sma20,full,OR15m/cut1100/exit1559/TE/both/follow
99,99.0,0.40404040404040403,0.04763717731341128,125.02525252525253,12377.5,1.1749222724703223,-17040.0,0.3173478508652575,ES,below_sma20,IS,OR15m/cut1100/exit1559/TE/both/follow
77,77.0,0.3246753246753247,-0.3231131222886745,-388.05194805194805,-29880.0,0.5274395065633402,-34702.5,-2.726272552796076,ES,below_sma20,OOS,OR15m/cut1100/exit1559/TE/both/follow
433,435.0,0.3695150115473441,0.02470263348359099,-33.10046189376443,-14332.5,0.9362525435602059,-42550.0,0.3255797659724504,ES,or_lt_0.4_atr,full,OR15m/cut1100/exit1559/TE/both/follow
278,280.0,0.37410071942446044,0.05223927163797577,-9.469424460431656,-2632.5,0.980170985236517,-33715.0,0.5488316414576957,ES,or_lt_0.4_atr,IS,OR15m/cut1100/exit1559/TE/both/follow
155,155.0,0.36129032258064514,-0.02468565946427331,-75.48387096774194,-11700.0,0.8729262266148958,-22055.0,-0.1960170384742936,ES,or_lt_0.4_atr,OOS,OR15m/cut1100/exit1559/TE/both/follow
2,2.0,0.5,-0.4316836914406481,-1133.75,-2267.5,0.11598440545808966,-2565.0,-0.7518019814127535,ES,or_gt_0.7_atr,full,OR15m/cut1100/exit1559/TE/both/follow
2,2.0,0.5,-0.4316836914406481,-1133.75,-2267.5,0.11598440545808966,-2565.0,-0.7518019814127535,ES,or_gt_0.7_atr,IS,OR15m/cut1100/exit1559/TE/both/follow
0,,,,,0.0,,,,ES,or_gt_0.7_atr,OOS,OR15m/cut1100/exit1559/TE/both/follow
103,104.0,0.4368932038834951,0.052967801277925136,138.15533980582524,14230.0,1.2850560897435896,-10617.5,0.37053711235736,ES,dow_Mon,full,OR15m/cut1100/exit1559/TE/both/follow
66,67.0,0.4090909090909091,0.044076399688165804,145.9848484848485,9635.0,1.3189341277722608,-10617.5,0.24442365096672586,ES,dow_Mon,IS,OR15m/cut1100/exit1559/TE/both/follow
37,37.0,0.4864864864864865,0.06882813924884723,124.1891891891892,4595.0,1.2331303906646371,-7047.5,0.2897398257395391,ES,dow_Mon,OOS,OR15m/cut1100/exit1559/TE/both/follow
105,105.0,0.37142857142857144,0.060027317956735514,-71.9047619047619,-7550.0,0.8756485217820967,-22860.0,0.36892360484283515,ES,dow_Tue,full,OR15m/cut1100/exit1559/TE/both/follow
68,68.0,0.3235294117647059,-0.029284386000956335,-98.08823529411765,-6670.0,0.8241381583283897,-16192.5,-0.14018325355751138,ES,dow_Tue,IS,OR15m/cut1100/exit1559/TE/both/follow
37,37.0,0.4594594594594595,0.2241677468519529,-23.783783783783782,-880.0,0.9613823368074602,-11750.0,0.8684974247387018,ES,dow_Tue,OOS,OR15m/cut1100/exit1559/TE/both/follow
103,103.0,0.3592233009708738,-0.045191399016682086,-140.97087378640776,-14520.0,0.7584629460201281,-18310.0,-0.3308107785451566,ES,dow_Wed,full,OR15m/cut1100/exit1559/TE/both/follow
66,66.0,0.3939393939393939,0.04161295140629021,-80.15151515151516,-5290.0,0.858271935699933,-16175.0,0.22796149572158805,ES,dow_Wed,IS,OR15m/cut1100/exit1559/TE/both/follow
37,37.0,0.2972972972972973,-0.20003159166306514,-249.45945945945945,-9230.0,0.5949978060552874,-10237.5,-1.0150947816389941,ES,dow_Wed,OOS,OR15m/cut1100/exit1559/TE/both/follow
102,102.0,0.3627450980392157,0.06117466426799014,14.166666666666666,1445.0,1.024822847326605,-12975.0,0.3680698412759659,ES,dow_Thu,full,OR15m/cut1100/exit1559/TE/both/follow
65,65.0,0.38461538461538464,0.09354304659190633,105.38461538461539,6850.0,1.2185879537295572,-7570.0,0.5014396495364639,ES,dow_Thu,IS,OR15m/cut1100/exit1559/TE/both/follow
37,37.0,0.32432432432432434,0.004311289915164568,-146.0810810810811,-5405.0,0.7988837209302325,-11062.5,0.013316262331888378,ES,dow_Thu,OOS,OR15m/cut1100/exit1559/TE/both/follow
101,102.0,0.32673267326732675,-0.09431690239745771,-103.11881188118812,-10415.0,0.841071224201732,-16295.0,-0.6230783654919806,ES,dow_Fri,full,OR15m/cut1100/exit1559/TE/both/follow
65,66.0,0.35384615384615387,0.013893250204671416,-25.384615384615383,-1650.0,0.9578866768759571,-11587.5,0.06844705857838249,ES,dow_Fri,IS,OR15m/cut1100/exit1559/TE/both/follow
36,36.0,0.2777777777777778,-0.2896963445957464,-243.47222222222223,-8765.0,0.6673939853903804,-11430.0,-1.3514175057691427,ES,dow_Fri,OOS,OR15m/cut1100/exit1559/TE/both/follow
491,516.0,0.5030549898167006,0.01517385149249619,-9.34826883910387,-4590.0,0.9728599092373871,-25077.5,0.44487737230241153,ES,(none),full,OR30m/cut1100/exit1100/TE/both/follow
316,332.0,0.5126582278481012,0.05115872632994019,34.960443037974684,11047.5,1.112574514699139,-11590.0,1.1562070012074694,ES,(none),IS,OR30m/cut1100/exit1100/TE/both/follow
175,184.0,0.4857142857142857,-0.049804551071116976,-89.35714285714286,-15637.5,0.7797147385103012,-24935.0,-0.9490227844105692,ES,(none),OOS,OR30m/cut1100/exit1100/TE/both/follow
